lng,lat,avg_tmpr_c,wthr_date,city,country
2.326,48.847,7.01,2021-10-22,Paris,FR
2.352,48.864,18.75,2022-09-28,Paris,FR
2.328,48.871,8.08,2021-10-12,Paris,FR
-0.152,51.506,11.93,2021-10-15,London,GB
2.307,48.855,11.12,2021-10-02,Paris,FR
2.334,48.884,17.89,2022-09-28,Paris,FR
2.193,41.393,24.62,2022-08-26,Barcelona,ES
-0.130,51.510,11.98,2021-10-15,London,GB
2.324,48.873,17.93,2022-09-28,Paris,FR
-0.185,51.524,17.36,2022-08-24,London,GB
-80.080,42.047,9.29,2021-10-26,Erie,US
2.301,48.861,18.29,2022-08-17,Paris,FR
9.155,45.468,14.44,2022-09-19,Milan,IT
-74.073,41.505,12.67,2022-09-28,Newburgh,US
2.349,48.853,7.36,2021-10-22,Paris,FR
2.279,48.833,8.46,2021-10-08,Paris,FR
2.310,48.850,8.52,2021-10-08,Paris,FR
9.191,45.458,11.04,2021-10-23,Milan,IT
2.199,41.394,24.84,2022-08-26,Barcelona,ES
2.345,48.866,19.78,2022-08-14,Paris,FR
-0.150,51.504,13.46,2022-09-02,London,GB
2.121,41.390,16.79,2021-10-27,Barcelona,ES
9.176,45.452,23.38,2022-08-30,Milan,IT
9.180,45.459,14.67,2022-09-19,Milan,IT
-0.160,51.502,15.39,2022-08-05,London,GB
9.206,45.500,14.04,2022-09-19,Milan,IT
2.331,48.857,19.73,2022-08-14,Paris,FR
2.331,48.869,10.88,2021-10-30,Paris,FR
2.333,48.865,19.77,2022-08-14,Paris,FR
2.144,41.399,16.91,2021-10-27,Barcelona,ES
-0.159,51.519,14.55,2022-09-22,London,GB
2.305,48.871,8.05,2021-10-12,Paris,FR
2.209,41.413,16.74,2021-10-27,Barcelona,ES
2.299,48.841,8.86,2021-10-08,Paris,FR
-0.150,51.505,15.12,2022-08-06,London,GB
-0.148,51.505,13.97,2022-09-02,London,GB
2.309,48.867,18.30,2022-09-28,Paris,FR
9.191,45.469,22.37,2022-08-13,Milan,IT
2.354,48.869,18.17,2022-08-17,Paris,FR
2.342,48.850,10.65,2021-10-02,Paris,FR
2.327,48.867,7.17,2021-10-21,Paris,FR
9.204,45.483,24.13,2022-08-30,Milan,IT
2.331,48.884,9.53,2021-10-18,Paris,FR
2.305,48.865,17.41,2022-08-17,Paris,FR
2.354,48.877,17.86,2022-09-28,Paris,FR
-0.088,51.516,14.16,2022-09-02,London,GB
-0.126,51.520,15.70,2022-08-06,London,GB
-0.129,51.507,10.04,2022-09-18,London,GB
9.199,45.484,12.66,2021-10-15,Milan,IT
-0.193,51.495,15.26,2022-08-05,London,GB
-0.186,51.512,10.85,2022-09-18,London,GB
9.214,45.469,23.21,2022-08-30,Milan,IT
2.329,48.880,8.14,2021-10-12,Paris,FR
-0.127,51.515,10.85,2022-09-18,London,GB
9.194,45.464,23.94,2022-08-30,Milan,IT
