lng,lat,avg_tmpr_c,wthr_date,city,country
9.180,45.459,18.15,2022-09-11,Milan,IT
9.181,45.461,10.91,2021-10-23,Milan,IT
9.207,45.468,14.78,2022-09-19,Milan,IT
2.341,48.864,19.37,2022-08-14,Paris,FR
2.212,41.402,24.86,2022-08-26,Barcelona,ES
-105.906,37.481,8.86,2022-09-28,Alamosa,US
2.348,48.849,17.49,2022-08-13,Paris,FR
2.279,48.833,17.22,2022-08-13,Paris,FR
-0.107,51.508,17.50,2022-08-24,London,GB
2.291,48.870,8.45,2021-10-12,Paris,FR
9.200,45.486,22.31,2022-08-13,Milan,IT
-0.192,51.537,10.37,2022-09-18,London,GB
-0.177,51.514,13.42,2022-09-02,Paddington,GB
-0.150,51.518,10.63,2022-09-18,London,GB
9.222,45.502,23.36,2022-08-30,Milan,IT
9.184,45.467,12.19,2021-10-15,Milan,IT
2.304,48.876,8.35,2021-10-12,Paris,FR
2.166,41.391,24.65,2022-08-26,Barcelona,ES
-0.095,51.505,14.08,2022-09-02,London,GB
9.190,45.481,10.20,2021-10-23,Milan,IT
2.321,48.835,7.53,2021-10-22,Paris,FR
2.381,48.854,10.21,2021-10-02,Paris,FR
2.149,41.375,24.98,2022-08-26,Barcelona,ES
2.337,48.871,16.88,2022-09-03,Paris,FR
2.322,48.847,6.92,2021-10-22,Paris,FR
2.302,48.848,8.41,2021-10-08,Paris,FR
9.197,45.507,12.71,2021-10-15,Milan,IT
-0.100,51.521,12.11,2021-10-15,London,GB
2.303,48.867,19.38,2022-08-14,Paris,FR
2.305,48.871,10.95,2021-10-30,Paris,FR
-0.005,51.507,8.08,2021-10-09,London,GB
2.292,48.855,17.82,2022-08-17,Paris,FR
-0.132,51.519,12.58,2021-10-15,London,GB
2.367,48.859,18.78,2022-09-28,Paris,FR
2.310,48.850,11.57,2021-10-26,Paris,FR
2.336,48.866,18.35,2022-08-17,Paris,FR
-0.223,51.573,10.48,2022-09-18,London,GB
2.395,48.889,8.23,2021-10-12,Paris,FR
2.266,48.840,19.18,2022-08-14,Paris,FR
-0.285,51.559,10.01,2022-09-18,London,GB
2.300,48.887,9.69,2021-10-18,Paris,FR
9.174,45.510,25.28,2022-08-16,Milan,IT
-0.104,51.523,11.69,2021-10-15,London,GB
2.357,48.876,16.94,2022-09-03,Paris,FR
2.350,48.874,11.12,2021-10-30,Paris,FR
9.200,45.478,22.80,2022-08-13,Milan,IT
-0.131,51.521,14.08,2022-09-02,London,GB
2.375,48.845,10.20,2021-10-02,Paris,FR
-0.143,51.522,10.95,2022-09-18,London,GB
2.362,48.862,10.43,2021-10-02,Paris,FR
9.161,45.451,10.53,2021-10-23,Milan,IT
2.305,48.869,17.95,2022-08-17,Paris,FR
2.163,41.396,17.46,2021-10-27,Barcelona,ES
9.200,45.478,23.84,2022-08-05,Milan,IT
2.326,48.847,10.37,2021-10-02,Paris,FR
9.158,45.487,10.59,2021-10-23,Milan,IT
2.306,48.875,17.99,2022-09-28,Paris,FR
2.302,48.873,9.14,2021-10-18,Paris,FR
9.164,45.486,12.16,2021-10-15,Milan,IT
2.301,48.887,9.08,2021-10-18,Irving,US
2.287,48.866,17.69,2022-08-17,Paris,FR
-0.178,51.512,11.83,2021-10-15,Paddington,GB
