lng,lat,avg_tmpr_c,wthr_date,city,country
-0.105,51.512,13.96,2022-09-22,London,GB
9.173,45.441,23.65,2022-08-30,Milan,IT
2.305,48.827,18.73,2022-09-28,Paris,FR
2.297,48.870,6.75,2021-10-21,Paris,FR
-0.161,51.515,17.56,2022-08-24,London,GB
9.246,45.505,24.14,2022-08-05,Milan,IT
9.189,45.461,17.85,2022-09-11,Milan,IT
9.161,45.491,24.02,2022-08-30,Milan,IT
-103.848,44.476,13.93,2022-09-28,Spearfish,US
-0.147,51.508,13.81,2022-09-02,London,GB
-0.168,51.529,11.85,2021-10-15,London,GB
2.354,48.873,17.48,2022-09-28,Paris,FR
9.145,45.501,14.74,2022-09-19,Milan,IT
2.330,48.865,11.26,2021-10-26,Paris,FR
2.304,48.876,17.96,2022-09-28,Paris,FR
2.284,48.880,17.56,2022-09-28,Paris,FR
2.361,48.871,17.52,2022-08-17,Paris,FR
2.352,48.871,18.20,2022-08-17,Paris,FR
9.194,45.464,23.95,2022-08-05,Milan,IT
9.207,45.474,22.67,2022-08-13,Milan,IT
9.202,45.487,13.87,2022-09-19,Milan,IT
2.328,48.844,9.06,2021-10-08,Paris,FR
-0.184,51.511,11.97,2021-10-15,London,GB
2.325,48.866,17.90,2022-08-13,Paris,FR
2.308,48.859,7.21,2021-10-22,Paris,FR
2.374,48.852,6.69,2021-10-22,Paris,FR
9.160,45.485,22.61,2022-08-13,Milan,IT
-0.105,51.505,11.89,2021-10-15,London,GB
2.280,48.858,10.92,2021-10-26,Paris,FR
2.328,48.881,16.89,2022-09-03,Paris,FR
2.309,48.871,7.46,2021-10-21,Paris,FR
9.197,45.471,25.05,2022-08-16,Milan,IT
-0.214,51.556,10.85,2022-09-18,London,GB
-0.177,51.514,7.99,2021-10-09,Paddington,GB
2.167,41.391,24.66,2022-08-26,Barcelona,ES
-0.125,51.523,17.56,2022-08-24,London,GB
2.160,41.394,24.03,2022-08-26,Barcelona,ES
2.373,48.844,10.42,2021-10-02,Paris,FR
-0.181,51.511,12.43,2021-10-15,London,GB
2.171,41.384,16.70,2021-10-27,Barcelona,ES
-0.193,51.513,13.94,2022-09-02,London,GB
-0.147,51.508,14.67,2022-09-22,London,GB
2.330,48.865,10.73,2021-10-02,Paris,FR
2.326,48.872,9.60,2021-10-18,Paris,FR
-0.152,51.507,15.41,2022-08-06,London,GB
2.335,48.856,11.13,2021-10-02,Paris,FR
2.294,48.876,7.70,2021-10-21,Paris,FR
9.207,45.468,23.99,2022-08-30,Milan,IT
2.337,48.867,18.12,2022-09-28,Paris,FR
2.347,48.861,10.88,2021-10-02,Paris,FR
-0.144,51.518,8.30,2021-10-09,London,GB
-0.164,51.516,11.90,2021-10-15,London,GB
2.367,48.866,18.79,2022-09-28,Paris,FR
2.166,41.396,17.15,2021-10-27,Barcelona,ES
-0.099,51.505,8.39,2021-10-09,London,GB
2.298,48.850,19.30,2022-08-14,Paris,FR
-0.152,51.513,10.30,2022-09-18,London,GB
-0.306,51.512,13.92,2022-09-02,London,GB
9.207,45.485,12.30,2021-10-15,Milan,IT
-0.284,51.558,16.65,2022-08-24,London,GB
-80.032,37.265,12.14,2021-10-12,Salem,US
2.309,48.866,7.10,2021-10-22,Paris,FR
-0.203,51.512,10.17,2022-09-18,London,GB
-97.959,26.172,24.60,2021-10-26,Weslaco,US
2.294,48.871,10.28,2021-10-30,Paris,FR
-0.123,51.529,8.19,2021-10-09,London,GB
-0.180,51.514,14.62,2022-09-22,Paddington,GB
-0.148,51.515,10.94,2022-09-18,London,GB
2.326,48.872,17.52,2022-08-17,Paris,FR
2.331,48.884,10.51,2021-10-30,Paris,FR
2.347,48.873,17.41,2022-08-17,Paris,FR
2.353,48.858,8.62,2021-10-08,Paris,FR
2.347,48.865,9.07,2021-10-08,Paris,FR
9.204,45.479,11.01,2021-10-23,Milan,IT
2.141,41.380,24.16,2022-08-26,Barcelona,ES
2.380,48.850,11.11,2021-10-26,Paris,FR
-0.171,51.520,17.00,2022-08-24,Paddington,GB
2.123,41.403,24.39,2022-08-26,Barcelona,ES
2.285,48.857,8.47,2021-10-08,Irving,US
-0.016,51.509,10.92,2022-09-18,London,GB
2.343,48.848,17.63,2022-08-17,Paris,FR
2.337,48.882,18.06,2022-09-28,Paris,FR
-0.191,51.482,15.30,2022-08-05,London,GB
2.180,41.390,24.06,2022-08-26,Barcelona,ES
9.207,45.485,11.85,2021-10-15,Milan,IT
-0.214,51.556,8.02,2021-10-09,London,GB
9.215,45.526,23.23,2022-08-30,Milan,IT
-0.142,51.509,15.34,2022-08-06,London,GB
-0.082,51.515,14.25,2022-09-22,London,GB
2.373,48.844,17.80,2022-08-13,Paris,FR
-0.182,51.512,8.56,2021-10-09,London,GB
2.322,48.847,18.08,2022-09-28,Paris,FR
2.127,41.381,16.71,2021-10-27,Barcelona,ES
-0.121,51.511,10.77,2022-09-18,London,GB
-0.226,51.505,14.49,2022-09-22,London,GB
-0.183,51.513,14.32,2022-09-02,London,GB
2.303,48.872,18.14,2022-08-17,Paris,FR
2.343,48.871,16.90,2022-09-03,Paris,FR
-0.129,51.507,8.32,2021-10-09,London,GB
2.287,48.875,17.49,2022-08-17,Paris,FR
9.204,45.483,17.89,2022-09-11,Milan,IT
9.224,45.487,18.49,2022-09-11,Milan,IT
-0.137,51.529,11.65,2021-10-15,Fitzrovia,GB
9.195,45.469,11.90,2021-10-15,Milan,IT
2.329,48.844,7.35,2021-10-22,Paris,FR
2.320,48.880,10.34,2021-10-30,Paris,FR
9.190,45.465,23.93,2022-08-30,Milan,IT
2.333,48.868,8.22,2021-10-12,Paris,FR
-0.134,51.515,15.73,2022-08-06,London,GB
2.295,48.886,11.13,2021-10-30,Paris,FR
2.331,48.855,17.85,2022-08-13,Paris,FR
9.192,45.457,14.02,2022-09-19,Milan,IT
2.368,48.861,11.23,2021-10-26,Paris,FR
-0.150,51.510,17.31,2022-08-24,London,GB
2.299,48.841,17.43,2022-08-17,Paris,FR
2.302,48.842,10.28,2021-10-02,Paris,FR
9.228,45.502,23.52,2022-08-05,Milan,IT
2.291,48.875,18.38,2022-08-17,Paris,FR
9.204,45.479,17.96,2022-09-11,Milan,IT
2.314,48.887,17.11,2022-09-03,Paris,FR
9.191,45.458,21.95,2022-08-13,Milan,IT
2.380,48.850,17.93,2022-09-28,Paris,FR
9.184,45.477,13.94,2022-09-19,Milan,IT
2.359,48.876,10.26,2021-10-30,Paris,FR
-0.005,51.507,10.22,2022-09-18,London,GB
2.192,41.397,16.86,2021-10-27,Barcelona,ES
9.207,45.474,10.88,2021-10-23,Milan,IT
9.167,45.452,25.64,2022-08-16,Milan,IT
2.338,48.851,18.93,2022-08-14,Paris,FR
2.305,48.871,9.76,2021-10-18,Paris,FR
-0.128,51.529,12.10,2021-10-15,London,GB
9.195,45.451,12.73,2021-10-15,Milan,IT
-0.176,51.516,13.87,2022-09-02,Paddington,GB
9.203,45.483,10.73,2021-10-23,Milan,IT
2.328,48.871,16.69,2022-09-03,Paris,FR
-0.147,51.508,8.62,2021-10-09,London,GB
-0.180,51.514,13.74,2022-09-22,Paddington,GB
2.329,48.880,16.71,2022-09-03,Paris,FR
2.298,48.871,10.62,2021-10-30,Paris,FR
2.372,48.837,18.66,2022-09-28,Paris,FR
2.338,48.879,7.30,2021-10-21,Paris,FR
2.334,48.869,17.33,2022-09-03,Paris,FR
9.192,45.457,24.16,2022-08-05,Milan,IT
2.361,48.864,8.70,2021-10-08,Paris,FR
-90.162,46.463,24.82,2022-09-22,Ironwood,US
2.290,48.874,6.80,2021-10-21,Paris,FR
2.325,48.871,7.66,2021-10-21,Paris,FR
2.301,48.871,8.73,2021-10-12,Paris,FR
-0.105,51.512,16.06,2022-08-06,London,GB
9.207,45.485,18.38,2022-09-11,Milan,IT
-0.161,51.515,13.99,2022-09-22,London,GB
2.343,48.848,11.15,2021-10-26,Paris,FR
-0.080,51.527,16.96,2022-08-24,London,GB
-0.151,51.506,11.91,2021-10-15,London,GB
9.148,45.492,11.20,2021-10-23,Milan,IT
2.359,48.887,18.40,2022-08-17,Paris,FR
-0.126,51.520,10.39,2022-09-18,London,GB
-0.086,51.504,8.14,2021-10-09,London,GB
9.157,45.471,17.66,2022-09-11,Milan,IT
-0.180,51.512,14.16,2022-09-22,Paddington,GB
2.305,48.855,7.50,2021-10-22,Paris,FR
2.337,48.871,7.15,2021-10-21,Paris,FR
-0.142,51.507,13.65,2022-09-02,London,GB
-0.279,51.561,8.37,2021-10-09,London,GB
2.350,48.889,8.73,2021-10-12,Paris,FR
2.332,48.864,18.24,2022-09-28,Paris,FR
2.162,41.392,24.03,2022-08-26,Barcelona,ES
2.361,48.864,6.64,2021-10-22,Paris,FR
2.325,48.869,11.04,2021-10-30,Paris,FR
2.373,48.844,10.95,2021-10-26,Paris,FR
2.337,48.882,10.78,2021-10-30,Paris,FR
2.304,48.867,11.11,2021-10-02,Paris,FR
2.352,48.869,7.37,2021-10-21,Paris,FR
2.344,48.873,7.66,2021-10-21,Paris,FR
2.302,48.874,16.73,2022-09-03,Paris,FR
9.199,45.479,23.93,2022-08-05,Milan,IT
2.323,48.860,19.39,2022-08-14,Paris,FR
-0.124,51.520,13.81,2022-09-02,London,GB
2.325,48.855,18.30,2022-08-17,Paris,FR
2.395,48.889,10.71,2021-10-30,Paris,FR
2.316,48.844,18.37,2022-08-17,Paris,FR
2.327,48.857,8.55,2021-10-08,Paris,FR
2.349,48.852,17.72,2022-08-17,Paris,FR
-0.101,51.514,8.80,2021-10-09,London,GB
2.381,48.857,11.16,2021-10-02,Paris,FR
-0.195,51.492,15.25,2022-08-05,London,GB
2.168,41.386,24.13,2022-08-26,Barcelona,ES
2.309,48.866,11.02,2021-10-26,Paris,FR
2.332,48.864,19.58,2022-08-14,Paris,FR
9.200,45.486,25.17,2022-08-16,Milan,IT
9.206,45.475,23.62,2022-08-05,Milan,IT
9.155,45.490,23.57,2022-08-05,Milan,IT
-0.153,51.522,11.98,2021-10-15,London,GB
2.335,48.872,8.65,2021-10-12,Paris,FR
-0.156,51.514,13.53,2022-09-02,London,GB
-0.076,51.512,17.30,2022-08-24,London,GB
2.313,48.882,10.79,2021-10-30,Paris,FR
2.317,48.857,10.75,2021-10-02,Paris,FR
-0.181,51.513,11.90,2021-10-15,London,GB
-0.263,51.521,15.91,2022-08-06,London,GB
2.304,48.862,11.06,2021-10-26,Paris,FR
-0.192,51.537,8.17,2021-10-09,London,GB
2.330,48.835,10.27,2021-10-02,Paris,FR
-0.142,51.508,15.74,2022-08-06,London,GB
2.340,48.832,11.46,2021-10-26,Paris,FR
2.340,48.850,18.99,2022-08-14,Paris,FR
9.210,45.463,23.54,2022-08-30,Milan,IT
2.326,48.820,8.63,2021-10-08,Paris,FR
2.322,48.874,9.35,2021-10-18,Paris,FR
2.315,48.838,11.18,2021-10-02,Paris,FR
2.323,48.860,17.79,2022-08-17,Paris,FR
-0.092,51.521,13.74,2022-09-22,London,GB
2.288,48.866,11.04,2021-10-02,Paris,FR
9.187,45.469,14.43,2022-09-19,Milan,IT
-0.135,51.511,10.14,2022-09-18,London,GB
-0.136,51.510,14.16,2022-09-02,London,GB
2.345,48.846,11.26,2021-10-26,Paris,FR
2.179,41.383,24.87,2022-08-26,Barcelona,ES
2.294,48.875,17.82,2022-09-28,Paris,FR
-0.121,51.511,15.21,2022-08-06,London,GB
2.341,48.882,10.61,2021-10-30,Paris,FR
2.304,48.865,19.44,2022-08-14,Paris,FR
-0.180,51.516,13.55,2022-09-02,London,GB
2.308,48.854,17.41,2022-08-17,Paris,FR
2.294,48.871,18.18,2022-08-17,Paris,FR
-78.971,39.439,20.61,2022-09-19,Keyser,US
2.350,48.862,17.49,2022-08-17,Paris,FR
2.330,48.831,7.59,2021-10-22,Paris,FR
2.298,48.883,8.24,2021-10-12,Paris,FR
9.196,45.464,25.02,2022-08-16,Milan,IT
9.204,45.486,13.90,2022-09-19,Milan,IT
2.298,48.871,7.52,2021-10-21,Paris,FR
9.207,45.447,23.46,2022-08-05,Milan,IT
9.206,45.500,23.96,2022-08-05,Milan,IT
2.332,48.882,7.65,2021-10-21,Paris,FR
-0.123,51.521,10.66,2022-09-18,London,GB
-122.311,37.915,17.47,2021-10-08,El Cerrito,US
2.342,48.875,17.72,2022-08-17,Celina,US
2.325,48.866,10.91,2021-10-26,Paris,FR
2.354,48.869,8.26,2021-10-12,Paris,FR
9.192,45.458,18.07,2022-09-11,Milan,IT
2.311,48.870,9.62,2021-10-18,Paris,FR
9.231,45.438,25.77,2022-08-16,Milan,IT
2.332,48.882,8.52,2021-10-12,Paris,FR
9.209,45.478,25.57,2022-08-16,Milan,IT
2.310,48.859,19.64,2022-08-14,Paris,FR
2.294,48.875,16.54,2022-09-03,Paris,FR
-0.130,51.527,15.26,2022-08-06,London,GB
2.160,41.394,16.74,2021-10-27,Barcelona,ES
2.354,48.832,7.34,2021-10-22,Paris,FR
-0.126,51.505,17.13,2022-08-24,London,GB
2.346,48.839,10.54,2021-10-02,Paris,FR
-0.180,51.513,15.58,2022-08-06,London,GB
2.324,48.881,10.78,2021-10-30,Paris,FR
-0.151,51.517,8.87,2021-10-09,London,GB
-0.160,51.516,10.07,2022-09-18,London,GB
2.362,48.856,8.26,2021-10-08,Paris,FR
2.331,48.869,17.22,2022-09-03,Paris,FR
2.296,48.879,17.47,2022-08-17,Paris,FR
2.283,48.866,17.65,2022-08-13,Paris,FR
-105.674,33.352,17.88,2022-08-16,Ruidoso,US
2.338,48.853,8.38,2021-10-08,Paris,FR
2.331,48.843,18.20,2022-08-17,Paris,FR
-0.157,51.515,10.05,2022-09-18,London,GB
2.294,48.876,17.18,2022-09-03,Paris,FR
2.334,48.869,6.84,2021-10-21,Paris,FR
2.334,48.885,6.81,2021-10-21,Paris,FR
9.210,45.479,10.41,2021-10-23,Milan,IT
2.340,48.855,18.48,2022-09-28,Paris,FR
2.337,48.871,8.11,2021-10-12,Paris,FR
-0.105,51.505,15.50,2022-08-06,London,GB
9.196,45.453,12.45,2021-10-15,Milan,IT
2.347,48.849,18.01,2022-09-28,Paris,FR
2.301,48.887,17.12,2022-09-03,Irving,US
2.168,41.387,16.71,2021-10-27,Barcelona,ES
-0.154,51.519,16.92,2022-08-24,London,GB
2.379,48.861,17.65,2022-08-13,Paris,FR
-0.160,51.516,13.51,2022-09-02,London,GB
-0.007,51.543,8.63,2021-10-09,London,GB
2.298,48.883,9.90,2021-10-18,Paris,FR
2.332,48.864,17.85,2022-09-28,Paris,FR
