lng,lat,avg_tmpr_c,wthr_date,city,country
2.388,48.854,19.02,2022-08-14,Carrollton,US
-0.197,51.510,16.08,2022-08-06,London,GB
9.183,45.467,10.24,2021-10-23,Milan,IT
2.305,48.827,8.33,2021-10-08,Paris,FR
9.185,45.467,25.37,2022-08-16,Milan,IT
9.189,45.465,23.59,2022-08-05,Milan,IT
-0.223,51.573,14.11,2022-09-02,London,GB
2.296,48.879,9.48,2021-10-18,Paris,FR
2.328,48.865,18.06,2022-08-13,Paris,FR
2.326,48.875,7.06,2021-10-21,Paris,FR
9.174,45.510,10.57,2021-10-23,Milan,IT
2.168,41.375,17.03,2021-10-27,Barcelona,ES
2.362,48.856,17.92,2022-09-28,Paris,FR
-0.072,51.506,10.62,2022-09-18,London,GB
-101.742,35.195,22.76,2022-08-05,Amarillo,US
-0.076,51.512,12.35,2021-10-15,London,GB
2.357,48.825,17.46,2022-08-17,Paris,FR
-0.123,51.518,8.28,2021-10-09,London,GB
-0.072,51.506,15.95,2022-08-06,London,GB
-0.292,51.521,15.73,2022-08-06,London,GB
2.321,48.869,9.80,2021-10-18,Paris,FR
2.339,48.879,8.37,2021-10-12,Paris,FR
2.318,48.860,8.71,2021-10-08,Paris,FR
2.327,48.876,7.97,2021-10-12,Paris,FR
2.343,48.849,10.39,2021-10-02,Paris,FR
2.324,48.824,11.00,2021-10-02,Paris,FR
-0.130,51.527,13.64,2022-09-02,London,GB
2.303,48.869,17.87,2022-09-28,Paris,FR
2.345,48.846,19.75,2022-08-14,Paris,FR
-0.161,51.524,15.70,2022-08-06,London,GB
2.172,41.391,17.21,2021-10-27,Barcelona,ES
2.345,48.852,18.10,2022-09-28,Paris,FR
9.167,45.452,17.64,2022-09-11,Milan,IT
2.302,48.869,6.79,2021-10-21,Paris,FR
-0.078,51.521,14.28,2022-09-22,London,GB
-0.187,51.513,8.77,2021-10-09,London,GB
9.210,45.479,17.75,2022-09-11,Milan,IT
2.179,41.385,16.71,2021-10-27,Barcelona,ES
-91.060,30.429,27.41,2022-09-28,Baton Rouge,US
2.294,48.870,16.95,2022-09-03,Paris,FR
2.346,48.853,18.19,2022-09-28,Paris,FR
9.190,45.481,22.49,2022-08-13,Milan,IT
2.304,48.876,17.03,2022-09-03,Paris,FR
-0.131,51.521,17.39,2022-08-24,London,GB
